"Bestell-Nr";"Personal-Nr";"Kunden-Code";"Bestelldatum";"Versanddatum";"Versandfirmen-Nr";"Liefername";"Lieferadresse";"Lieferort";"Bundesland";"PLZ";"Bestimmungsland/-region";"Versandkosten";"Steuern";"Zahlungsart";"Zahlungsdatum";"Bemerkungen";"Steuersatz";"Steuerstatus";"Status-Nr"
72;1;28;7.6.2006 00:00:00;7.6.2006 00:00:00;3;"Amritansh Raghav";"789 28th Street";"Memphis";"TN";"99999";"USA";€ 40,00;€ 0,00;"Kreditkarte";7.6.2006 00:00:00;;0,00;;3
73;7;9;5.6.2006 00:00:00;5.6.2006 00:00:00;1;"Sven Mortensen";"123 9th Street";"Salt Lake City";"UT";"99999";"USA";€ 100,00;€ 0,00;"Scheck";5.6.2006 00:00:00;;0,00;;3
74;6;6;8.6.2006 00:00:00;8.6.2006 00:00:00;2;"Francisco Pérez-Olaeta";"123 6th Street";"Milwaukee";"WI";"99999";"USA";€ 300,00;€ 0,00;"Kreditkarte";8.6.2006 00:00:00;;0,00;;3
75;4;8;5.6.2006 00:00:00;5.6.2006 00:00:00;2;"Elizabeth Andersen";"123 8th Street";"Portland";"OR";"99999";"USA";€ 50,00;€ 0,00;"Scheck";5.6.2006 00:00:00;;0,00;;3
76;9;25;5.6.2006 00:00:00;5.6.2006 00:00:00;1;"John Rodman";"789 25th Street";"Chicago";"IL";"99999";"USA";€ 5,00;€ 0,00;"Bar";5.6.2006 00:00:00;;0,00;;3
77;9;26;5.6.2006 00:00:00;5.6.2006 00:00:00;3;"Run Liu";"789 26th Street";"Miami";"FL";"99999";"USA";€ 60,00;€ 0,00;"Kreditkarte";5.6.2006 00:00:00;;0,00;;3
78;1;29;5.6.2006 00:00:00;5.6.2006 00:00:00;2;"Soo Jung Lee";"789 29th Street";"Denver";"CO";"99999";"USA";€ 200,00;€ 0,00;"Scheck";5.6.2006 00:00:00;;0,00;;3
79;2;6;23.6.2006 00:00:00;23.6.2006 00:00:00;3;"Francisco Pérez-Olaeta";"123 6th Street";"Milwaukee";"WI";"99999";"USA";€ 0,00;€ 0,00;"Scheck";23.6.2006 00:00:00;;0,00;;3
80;2;4;25.4.2006 17:03:55;;;"Christina Lee";"123 4th Street";"New York";"NY";"99999";"USA";€ 0,00;€ 0,00;;;;0,00;;0
81;2;3;25.4.2006 17:26:53;;;"Thomas Axen";"123 3rd Street";"Los Angeles";"CA";"99999";"USA";€ 0,00;€ 0,00;;;;0,00;;0
